id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Torgersen,39.1,18.7,181,3750,MALE
1,Adelie,Torgersen,39.5,17.4,186,3800,FEMALE
2,Adelie,Torgersen,40.3,18,195,3250,FEMALE
3,Adelie,Torgersen,,,,,
4,Adelie,Torgersen,36.7,19.3,193,3450,FEMALE
5,Adelie,Torgersen,39.3,20.6,190,3650,MALE
6,Adelie,Torgersen,38.9,17.8,181,3625,FEMALE
7,Adelie,Torgersen,39.2,19.6,195,4675,MALE
8,Adelie,Torgersen,34.1,18.1,193,3475,
9,Adelie,Torgersen,42,20.2,190,4250,
10,Adelie,Torgersen,37.8,17.1,186,3300,
11,Adelie,Torgersen,37.8,17.3,180,3700,
12,Adelie,Torgersen,41.1,17.6,182,3200,FEMALE
13,Adelie,Torgersen,38.6,21.2,191,3800,MALE
14,Adelie,Torgersen,34.6,21.1,198,4400,MALE
15,Adelie,Torgersen,36.6,17.8,185,3700,FEMALE
16,Adelie,Torgersen,38.7,19,195,3450,FEMALE
17,Adelie,Torgersen,42.5,20.7,197,4500,MALE
18,Adelie,Torgersen,34.4,18.4,184,3325,FEMALE
19,Adelie,Torgersen,46,21.5,194,4200,MALE
20,Adelie,Biscoe,37.8,18.3,174,3400,FEMALE
21,Adelie,Biscoe,37.7,18.7,180,3600,MALE
22,Adelie,Biscoe,35.9,19.2,189,3800,FEMALE
23,Adelie,Biscoe,38.2,18.1,185,3950,MALE
24,Adelie,Biscoe,38.8,17.2,180,3800,MALE
25,Adelie,Biscoe,35.3,18.9,187,3800,FEMALE
26,Adelie,Biscoe,40.6,18.6,183,3550,MALE
27,Adelie,Biscoe,40.5,17.9,187,3200,FEMALE
28,Adelie,Biscoe,37.9,18.6,172,3150,FEMALE
29,Adelie,Biscoe,40.5,18.9,180,3950,MALE
30,Adelie,Dream,39.5,16.7,178,3250,FEMALE
31,Adelie,Dream,37.2,18.1,178,3900,MALE
32,Adelie,Dream,39.5,17.8,188,3300,FEMALE
33,Adelie,Dream,40.9,18.9,184,3900,MALE
34,Adelie,Dream,36.4,17,195,3325,FEMALE
35,Adelie,Dream,39.2,21.1,196,4150,MALE
36,Adelie,Dream,38.8,20,190,3950,MALE
37,Adelie,Dream,42.2,18.5,180,3550,FEMALE
38,Adelie,Dream,37.6,19.3,181,3300,FEMALE
